state_id,school_type,num_of_schools
27,less_than_50_students,39413
28,less_than_50_students,29423
29,less_than_50_students,25595
30,less_than_50_students,763
31,less_than_50_students,4
32,less_than_50_students,4163
33,less_than_50_students,18004
34,less_than_50_students,154
35,less_than_50_students,188
1,school_mgmt_committee,23078
2,school_mgmt_committee,15348
3,school_mgmt_committee,20125
4,school_mgmt_committee,120
5,school_mgmt_committee,17796
6,school_mgmt_committee,14646
7,school_mgmt_committee,2977
8,school_mgmt_committee,67277
9,school_mgmt_committee,164751
10,school_mgmt_committee,69236
11,school_mgmt_committee,863
12,school_mgmt_committee,3277
13,school_mgmt_committee,2044
14,school_mgmt_committee,3876
15,school_mgmt_committee,2344
16,school_mgmt_committee,4365
17,school_mgmt_committee,11170
18,school_mgmt_committee,53565
19,school_mgmt_committee,45395
20,school_mgmt_committee,41121
21,school_mgmt_committee,62105
22,school_mgmt_committee,44439
23,school_mgmt_committee,114500
24,school_mgmt_committee,34218
25,school_mgmt_committee,95
26,school_mgmt_committee,278
27,school_mgmt_committee,83144
28,school_mgmt_committee,45399
29,school_mgmt_committee,44761
30,school_mgmt_committee,1293
31,school_mgmt_committee,41
32,school_mgmt_committee,9703
33,school_mgmt_committee,42589
34,school_mgmt_committee,443
35,school_mgmt_committee,338
1,preprimary,16778
2,preprimary,2176
3,preprimary,6946
4,preprimary,184
5,preprimary,3042
6,preprimary,8446
7,preprimary,2550
8,preprimary,19747
9,preprimary,11812
10,preprimary,6662
11,preprimary,1028
12,preprimary,1000
13,preprimary,2446
14,preprimary,1297
15,preprimary,917
16,preprimary,314
17,preprimary,7964
18,preprimary,39741
19,preprimary,74046
20,preprimary,3964
21,preprimary,6062
22,preprimary,4656
23,preprimary,18593
24,preprimary,4070
25,preprimary,32
26,preprimary,40
27,preprimary,12075
28,preprimary,39
29,preprimary,11906
30,preprimary,414
31,preprimary,1
32,preprimary,9942
33,preprimary,11049
34,preprimary,580
35,preprimary,361
1,TLM_grant,3245
2,TLM_grant,136
3,TLM_grant,1867
4,TLM_grant,0
5,TLM_grant,363
6,TLM_grant,1709
7,TLM_grant,34
8,TLM_grant,1277
9,TLM_grant,16144
10,TLM_grant,2777
11,TLM_grant,27
12,TLM_grant,36
13,TLM_grant,13
14,TLM_grant,48
15,TLM_grant,13
16,TLM_grant,296
17,TLM_grant,269
18,TLM_grant,473
19,TLM_grant,2908
20,TLM_grant,2111
21,TLM_grant,738
22,TLM_grant,547
23,TLM_grant,1776
