,state_id,state_name,area_type,age_group,education_level,male,female,total
256,2,State - HIMACHAL PRADESH,Urban,65-69,Total,6437,6074,12511
257,2,State - HIMACHAL PRADESH,Urban,70-74,Total,4869,4786,9655
258,2,State - HIMACHAL PRADESH,Urban,75-79,Total,2879,2869,5748
259,2,State - HIMACHAL PRADESH,Urban,80+,Total,3126,3568,6694
260,2,State - HIMACHAL PRADESH,Urban,Age not stated,Total,454,323,777
261,3,State - PUNJAB,Total,All ages,Total,14639465,13103873,27743338
262,3,State - PUNJAB,Total,0-6,Total,1665994,1410225,3076219
263,3,State - PUNJAB,Total,7,Total,262427,220853,483280
264,3,State - PUNJAB,Total,8,Total,263834,215613,479447
265,3,State - PUNJAB,Total,9,Total,259383,203219,462602
266,3,State - PUNJAB,Total,10,Total,303757,233267,537024
267,3,State - PUNJAB,Total,11,Total,274903,213274,488177
268,3,State - PUNJAB,Total,12,Total,289167,227788,516955
269,3,State - PUNJAB,Total,13,Total,283488,227353,510841
270,3,State - PUNJAB,Total,14,Total,294215,236190,530405
271,3,State - PUNJAB,Total,15,Total,309954,245771,555725
272,3,State - PUNJAB,Total,16,Total,311992,250175,562167
273,3,State - PUNJAB,Total,17,Total,299464,237455,536919
274,3,State - PUNJAB,Total,18,Total,355581,276032,631613
275,3,State - PUNJAB,Total,19,Total,293189,238070,531259
276,3,State - PUNJAB,Total,20-24,Total,1465531,1311105,2776636
277,3,State - PUNJAB,Total,25-29,Total,1270405,1193456,2463861
278,3,State - PUNJAB,Total,30-34,Total,1082533,1034006,2116539
279,3,State - PUNJAB,Total,35-39,Total,1010862,978209,1989071
280,3,State - PUNJAB,Total,40-44,Total,909208,879261,1788469
281,3,State - PUNJAB,Total,45-49,Total,818135,769636,1587771
282,3,State - PUNJAB,Total,50-54,Total,663664,590800,1254464
283,3,State - PUNJAB,Total,55-59,Total,485845,470710,956555
284,3,State - PUNJAB,Total,60-64,Total,482483,514107,996590
285,3,State - PUNJAB,Total,65-69,Total,372806,346782,719588
286,3,State - PUNJAB,Total,70-74,Total,272120,241352,513472
287,3,State - PUNJAB,Total,75-79,Total,130203,126463,256666
288,3,State - PUNJAB,Total,80+,Total,186050,193451,379501
289,3,State - PUNJAB,Total,Age not stated,Total,22272,19250,41522
290,3,State - PUNJAB,Rural,All ages,Total,9093476,8250716,17344192
291,3,State - PUNJAB,Rural,0-6,Total,1055297,890205,1945502
292,3,State - PUNJAB,Rural,7,Total,167169,140944,308113
293,3,State - PUNJAB,Rural,8,Total,169036,138615,307651
294,3,State - PUNJAB,Rural,9,Total,166387,130738,297125
295,3,State - PUNJAB,Rural,10,Total,192450,148780,341230
296,3,State - PUNJAB,Rural,11,Total,176351,137011,313362
297,3,State - PUNJAB,Rural,12,Total,187214,147877,335091
298,3,State - PUNJAB,Rural,13,Total,183924,149015,332939
299,3,State - PUNJAB,Rural,14,Total,191427,154779,346206
300,3,State - PUNJAB,Rural,15,Total,200124,161088,361212
301,3,State - PUNJAB,Rural,16,Total,202731,164826,367557
